group,gene
MARKER,SFTA2
MARKER,NAPSA
MARKER,CD79A
MARKER,MS4A1
MARKER,KRT15
MARKER,S100A2
MARKER,GPR183
MARKER,SPARCL1
MARKER,PECAM1
MARKER,VWF
MARKER,COL6A1
MARKER,CCL4
MARKER,GNLY
MARKER,CLDN5
MARKER,C1QB
MARKER,VCAN
MARKER,SNTN
MARKER,WFDC2
MARKER,CD3E
MARKER,CD3D
MARKER,CD25
MARKER,CD19
MARKER,CD2
MARKER,FOXP3
